"ID_Pensionado","COD_TIPO_PENSION","COD_PARENTESCO","SEXO","Edad","MONTO"
"V01244",1,NA,"M",65,7940567.544
"V01311",1,NA,"F",63,7781144.28
"V01326",1,NA,"M",68,7737132.039
"V01343",1,NA,"F",64,7692091.134
"V01356",1,NA,"M",66,7679952.189
"V01368",1,NA,"F",69,7655202.828
"V01372",1,NA,"M",65,7647052.686
"V01374",1,NA,"F",67,7636273.281
"V01385",1,NA,"M",65,7615621.923
"V01386",1,NA,"F",73,7615083.567
"V01415",1,NA,"M",64,7521146.178
"V01416",1,NA,"F",69,7520338.098
"V01420",1,NA,"M",64,7507764.264
"V01451",1,NA,"M",69,7430412.171
"V01472",1,NA,"M",64,7359927.666
"V01485",1,NA,"F",63,7325580.444
"V01486",1,NA,"M",63,7317671.907
"V01513",1,NA,"M",64,7234687.551
"V01514",1,NA,"M",64,7232792.385
"V01545",1,NA,"F",67,7131378.072
"V01577",1,NA,"F",66,7031790.129
"V01597",1,NA,"F",61,6965305.347
"V01637",1,NA,"M",72,6849828.258
"V01654",1,NA,"F",67,6793962.903
"V01676",1,NA,"M",63,6717181.926
"V01691",1,NA,"F",74,6673693.572
"V01715",1,NA,"M",72,6615755.328
"V01719",1,NA,"F",65,6598263.672
"V01722",1,NA,"M",67,6588722.049
"V01724",1,NA,"F",65,6583885.854
"V01729",1,NA,"M",70,6560852.298
"V01740",1,NA,"F",81,6533735.754
"V01756",1,NA,"M",78,6450563.028
"V01761",1,NA,"F",69,6428783.634
"V01792",1,NA,"M",72,6316328.382
"V01833",1,NA,"M",66,6170269.014
"V01843",1,NA,"F",72,6120155.496
"V01845",1,NA,"F",64,6115113.459
"V01850",1,NA,"M",79,6086941.77
"V01860",1,NA,"F",65,6046216.449
"V01893",1,NA,"F",66,5892967.08
"V01905",1,NA,"F",65,5853928.353
"V01955",1,NA,"F",64,5645524.521
"V01963",1,NA,"F",66,5600083.125
"V02029",1,NA,"M",70,5369950.95
"V02032",1,NA,"F",70,5352025.77
"V02045",1,NA,"M",67,5286983.247
"V02074",1,NA,"M",77,5208482.916
"V02080",1,NA,"F",62,5189653.287
"V02099",1,NA,"M",63,5112842.28
"V02214",1,NA,"M",64,4675242.117
"V02239",1,NA,"M",74,4596472.608
"V02244",1,NA,"M",65,4573927.176
"V02288",1,NA,"F",63,4423832.595
"V02371",1,NA,"F",64,4115565.363
"V02383",1,NA,"M",71,4072787.628
"V02430",1,NA,"M",69,3930491.292
"V02434",1,NA,"M",67,3917680.767
"V02435",1,NA,"F",66,3917267.991
"V02439",1,NA,"F",70,3913731.276
"V02491",1,NA,"M",60,3818920.287
"V02574",1,NA,"F",64,3662264.97
"V02605",1,NA,"M",70,3591048.279
"V02631",1,NA,"F",68,3542024.031
"V02644",1,NA,"M",64,3523813.839
"V02672",1,NA,"M",63,3489461.157
"V02687",1,NA,"F",64,3467127.573
"V02694",1,NA,"F",66,3459158.703
"V02712",1,NA,"M",65,3433656.135
"V02725",1,NA,"F",64,3421191.228
"V02733",1,NA,"F",76,3407886.027
"V02738",1,NA,"M",67,3403129.548
"V02743",1,NA,"M",67,3391235.757
"V02764",1,NA,"M",61,3351674.508
"V02802",1,NA,"M",64,3279557.19
"V02813",1,NA,"F",67,3264324.609
"V02825",1,NA,"M",66,3236875.278
"V02868",1,NA,"F",71,3173921.751
"V02877",1,NA,"F",67,3165794.814
"V02914",1,NA,"F",68,3115127.652
"V02961",1,NA,"M",68,3057791.373
"V02967",1,NA,"F",77,3049995.858
"V02976",1,NA,"M",69,3038488.089
"V03018",1,NA,"F",69,2990248.17
"V03097",1,NA,"M",66,2907581.586
"V03137",1,NA,"M",74,2857403.64
"V03144",1,NA,"F",76,2845066.224
"V03157",1,NA,"M",67,2825615.247
"V03165",1,NA,"M",68,2807916.657
"V03171",1,NA,"F",66,2799521.088
"V03192",1,NA,"F",71,2774136.456
"V03193",1,NA,"F",71,2773777.461
"V03210",1,NA,"F",64,2754173.331
"V03233",1,NA,"F",74,2733335.514
"V03293",1,NA,"M",73,2601885.741
"V03374",1,NA,"M",68,2426568.417
"V03494",1,NA,"M",67,2081986.179
"V03599",1,NA,"M",67,1830255.336
"V03838",1,NA,"M",69,1227500.547
"V03898",1,NA,"F",67,1070329.806
